pk_species,euring,taxref,scientific_name,french_name,english_name,niveau_taxo,class_tax,order_tax,family_tax
GAVSTE,20,2411,Gavia stellata,Plongeon catmarin,Red-throated Loon,espece,Oiseaux,Gaviiformes,Gaviidés
GAVARC,30,956,Gavia arctica,Plongeon arctique,Arctic Loon,espece,Oiseaux,Gaviiformes,Gaviidés
GAVIMM,40,959,Gavia immer,Plongeon imbrin,Common Loon,espece,Oiseaux,Gaviiformes,Gaviidés
GAVADA,50,953,Gavia adamsii,Plongeon à bec blanc,Yellow-billed Loon,espece,Oiseaux,Gaviiformes,Gaviidés
PODPOD,60,982,Podilymbus podiceps,Grèbe à bec bigarré,Pied-billed Grebe,espece,Oiseaux,Podicipédiformes,Podicipédidés
TACRUF,70,977,Tachybaptus ruficollis,Grèbe castagneux,Little Grebe,espece,Oiseaux,Podicipédiformes,Podicipédidés
PODCRI,90,965,Podiceps cristatus,Grèbe huppé,Great Crested Grebe,espece,Oiseaux,Podicipédiformes,Podicipédidés
PODGRI,100,968,Podiceps grisegena,Grèbe jougris,Red-necked Grebe,espece,Oiseaux,Podicipédiformes,Podicipédidés
PODAUR,110,971,Podiceps auritus,Grèbe esclavon,Horned Grebe,espece,Oiseaux,Podicipédiformes,Podicipédidés
PODNIG,120,974,Podiceps nigricollis,Grèbe à cou noir,Eared Grebe,espece,Oiseaux,Podicipédiformes,Podicipédidés
DIOMEL,140,442424,Thalassarche melanophris,Albatros à sourcils noirs,Black-browed Albatross,espece,Oiseaux,Procellariiformes,Diomédéidés
DIOEXU,200,988,Diomedea exulans,Albatros hurleur,Wandering Albatross,espece,Oiseaux,Procellariiformes,Diomédéidés
FULGLA,220,998,Fulmarus glacialis,Fulmar boréal,Northern Fulmar,espece,Oiseaux,Procellariiformes,Procéllariidés
BULBUL,340,1005,Bulweria bulwerii,Pétrel de Bulwer,Bulwer's Petrel,espece,Oiseaux,Procellariiformes,Procéllariidés
CALDIO,360,1009,Calonectris diomedea,Puffin cendré,Cory's Shearwater,espece,Oiseaux,Procellariiformes,Procéllariidés
PUFGRA,400,790987,Ardenna gravis,Puffin majeur,Great Shearwater,espece,Oiseaux,Procellariiformes,Procéllariidés
PUFGRI,430,1024,Puffinus griseus,Puffin fuligineux,Sooty Shearwater,espece,Oiseaux,Procellariiformes,Procéllariidés
PUFPUF,460,1027,Puffinus puffinus,Puffin des Anglais,Manx Shearwater,espece,Oiseaux,Procellariiformes,Procéllariidés
PUFYEL,462,1031,Puffinus yelkouan,Puffin de Méditerranée,Yelkouan Shearwater,espece,Oiseaux,Procellariiformes,Procéllariidés
PUFASS,480,1020,Puffinus assimilis,Petit Puffin,Little Shearwater,espece,Oiseaux,Procellariiformes,Procéllariidés
OCEOCE,500,1039,Oceanites oceanicus,Océanite de Wilson,Wilson's Storm-Petrel,espece,Oiseaux,Procellariiformes,Hydrobatidés
HYDPEL,520,2419,Hydrobates pelagicus,Océanite tempête,European Storm-Petrel,espece,Oiseaux,Procellariiformes,Hydrobatidés
OCELEU,550,2423,Oceanodroma leucorhoa,Océanite culblanc,Leach's Storm-Petrel,espece,Oiseaux,Procellariiformes,Hydrobatidés
OCEMON,560,2429,Oceanodroma monorhis,Océanite de Swinhoe,Swinhoe's Storm-Petrel,espece,Oiseaux,Procellariiformes,Hydrobatidés
OCECAS,580,2426,Oceanodroma castro,Océanite de Castro,Band-rumped Storm-Petrel,espece,Oiseaux,Procellariiformes,Hydrobatidés
SULBAS,710,2437,Morus bassanus,Fou de Bassan,Northern Gannet,espece,Oiseaux,Pélécaniformes,Sulidés
PHACAR,720,2440,Phalacrocorax carbo,Grand Cormoran,Great Cormorant,espece,Oiseaux,Pélécaniformes,Phalacrocoracidés
PHACARCAR,721,2442,Phalacrocorax carbo carbo,Grand Cormoran atlantique,Cormorant,sous-espece,Oiseaux,Pélécaniformes,Phalacrocoracidés
PHACARSIN,722,2446,Phalacrocorax carbo sinensis,Grand Cormoran continental,Cormorant,sous-espece,Oiseaux,Pélécaniformes,Phalacrocoracidés
PHAARI,800,2447,Phalacrocorax aristotelis,Cormoran huppé,European Shag,espece,Oiseaux,Pélécaniformes,Phalacrocoracidés
PHAARIARI,801,2450,Phalacrocorax aristotelis aristotelis,Cormoran huppé,Shag,sous-espece,Oiseaux,Pélécaniformes,Phalacrocoracidés
PHAARIDES,802,2452,Phalacrocorax aristotelis desmarestii,Cormoran huppé méditerranéen,Mediterranean Shag,sous-espece,Oiseaux,Pélécaniformes,Phalacrocoracidés
PHAPYG,820,2454,Phalacrocorax pygmaeus,Cormoran pygmée,Pygmy Cormorant,espece,Oiseaux,Pélécaniformes,Phalacrocoracidés
PELONO,880,2460,Pelecanus onocrotalus,Pélican blanc,Great White Pelican,espece,Oiseaux,Pélécaniformes,Pélécanidés
PELCRI,890,2462,Pelecanus crispus,Pélican frisé,Dalmatian Pelican,espece,Oiseaux,Pélécaniformes,Pélécanidés
FREMAG,930,2468,Fregata magnificens,Frégate superbe,Magnificent Frigatebird,espece,Oiseaux,Pélécaniformes,Frégatidés
BOTSTE,950,2473,Botaurus stellaris,Butor étoilé,Great Bittern,espece,Oiseaux,Ciconiiformes,Ardéidés
IXOMIN,980,2477,Ixobrychus minutus,Blongios nain,Little Bittern,espece,Oiseaux,Ciconiiformes,Ardéidés
NYCNYC,1040,2481,Nycticorax nycticorax,Bihoreau gris,Black-crowned Night-Heron,espece,Oiseaux,Ciconiiformes,Ardéidés
BUTVIR,,199328,Butorides virescens,Héron vert,Green Heron,espece,Oiseaux,Ciconiiformes,Ardéidés
ARDRAL,1080,2486,Ardeola ralloides,Crabier chevelu,Squacco Heron,espece,Oiseaux,Ciconiiformes,Ardéidés
BUBIBI,1110,2489,Bubulcus ibis,Héron garde-boeufs,Cattle Egret,espece,Oiseaux,Ciconiiformes,Ardéidés
EGRGUL,1180,2494,Egretta gularis,Aigrette à gorge blanche,Western Reef-Heron,espece,Oiseaux,Ciconiiformes,Ardéidés
EGRGAR,1190,2497,Egretta garzetta,Aigrette garzette,Little Egret,espece,Oiseaux,Ciconiiformes,Ardéidés
EGRALB,1210,2504,Ardea alba,Grande Aigrette,Great Egret,espece,Oiseaux,Ciconiiformes,Ardéidés
ARDCIN,1220,2506,Ardea cinerea,Héron cendré,Gray Heron,espece,Oiseaux,Ciconiiformes,Ardéidés
ARDPUR,1240,2508,Ardea purpurea,Héron pourpré,Purple Heron,espece,Oiseaux,Ciconiiformes,Ardéidés
CICNIG,1310,2514,Ciconia nigra,Cigogne noire,Black Stork,espece,Oiseaux,Ciconiiformes,Ciconiidés
CICCIC,1340,2517,Ciconia ciconia,Cigogne blanche,White Stork,espece,Oiseaux,Ciconiiformes,Ciconiidés
PLEFAL,1360,2522,Plegadis falcinellus,Ibis falcinelle,Glossy Ibis,espece,Oiseaux,Ciconiiformes,Threskiornithidés
THRAET,1420,2687,Threskiornis aethiopicus,Ibis sacré,Sacred Ibis,espece,Oiseaux,Ciconiiformes,Threskiornithidés
PLALEU,1440,2530,Platalea leucorodia,Spatule blanche,Eurasian Spoonbill,espece,Oiseaux,Ciconiiformes,Threskiornithidés
PHORUB,1470,199335,Phoenicopterus roseus,Flamant rose,Greater Flamingo,espece,Oiseaux,Phoenicoptériformes,Phoenicoptédés
CYGOLO,1520,2706,Cygnus olor,Cygne tuberculé,Mute Swan,espece,Oiseaux,Ansériformes,Anatidés
CYGCOL,1530,2709,Cygnus columbianus,Cygne de Bewick,Tundra Swan,espece,Oiseaux,Ansériformes,Anatidés
CYGCYG,1540,2715,Cygnus cygnus,Cygne chanteur,Whooper Swan,espece,Oiseaux,Ansériformes,Anatidés
ANSFAB,1570,2720,Anser fabalis,Oie des moissons,Taiga Bean-Goose,espece,Oiseaux,Ansériformes,Anatidés
ANSFABFAB,1571,2723,Anser fabalis fabalis,Oie des moissons de la taïga,Western Taiga Bean-Goose,sous-espece,Oiseaux,Ansériformes,Anatidés
ANSFABJOH,1572,,Anser fabalis johanseni,Oie des moissons ouest-sibérienne,Siberian Taiga Bean Goose,sous-espece,Oiseaux,Ansériformes,Anatidés
ANSFABROS,1574,2724,Anser fabalis rossicus,Oie des moissons de la toundra,Russian Taiga Bean Goose,sous-espece,Oiseaux,Ansériformes,Anatidés
ANSBRA,1580,2725,Anser brachyrhynchus,Oie à bec court,Pink-footed Goose,espece,Oiseaux,Ansériformes,Anatidés
ANSALB,1590,2734,Anser albifrons,Oie rieuse,Greater White-fronted Goose,espece,Oiseaux,Ansériformes,Anatidés
ANSALBALB,1591,2737,Anser albifrons albifrons,Oie rieuse eurasienne,White-fronted Goose,sous-espece,Oiseaux,Ansériformes,Anatidés
ANSALBFLA,1592,2738,Anser albifrons flavirostris,Oie rieuse du Groenland,White-fronted Goose,sous-espece,Oiseaux,Ansériformes,Anatidés
ANSERY,1600,2739,Anser erythropus,Oie naine,Lesser White-fronted Goose,espece,Oiseaux,Ansériformes,Anatidés
ANSANS,1610,2741,Anser anser,Oie cendrée,Graylag Goose,espece,Oiseaux,Ansériformes,Anatidés
ANSANSANS,1611,2744,Anser anser anser,Oie cendrée occidentale,Greylag Goose,sous-espece,Oiseaux,Ansériformes,Anatidés
ANSANSRUB,1612,2745,Anser anser rubrirostris,Oie cendrée orientale,Greylag Goose,sous-espece,Oiseaux,Ansériformes,Anatidés
ANSIND,1620,2731,Anser indicus,Oie à tête barrée,Bar-headed Goose,espece,Oiseaux,Anatidés,Anatidés
ANSCAE,1630,2727,Anser caerulescens,Oie des neiges,Snow Goose,espece,Oiseaux,Ansériformes,Anatidés
ANSCAECAE,1631,,Anser caerulescens caerulescens,Oie des neiges occidentale,Lesser Snow Goose,sous-espece,Oiseaux,Ansériformes,Anatidés
ANSCAEATL,1632,,Anser caerulescens atlanticus,Oie des neiges de l'Est,Greater Snow Goose,sous-espece,Oiseaux,Ansériformes,Anatidés
BRACAN,1660,2747,Branta canadensis,Bernache du Canada,Canada Goose,espece,Oiseaux,Ansériformes,Anatidés
BRALEU,1670,2750,Branta leucopsis,Bernache nonnette,Barnacle Goose,espece,Oiseaux,Ansériformes,Anatidés
BRABER,1680,2757,Branta bernicla,Bernache cravant,Dark-bellied Brant,espece,Oiseaux,Ansériformes,Anatidés
BRABERBER,1681,2760,Branta bernicla bernicla,Bernache cravant,Dark-bellied Brant (bernicla),sous-espece,Oiseaux,Ansériformes,Anatidés
BRABERHRO,1682,2762,Branta bernicla hrota,Bernache cravant occidentale,Pale-bellied Brant,sous-espece,Oiseaux,Ansériformes,Anatidés
BRARUF,1690,2753,Branta ruficollis,Bernache à cou roux,Red-breasted Goose,espece,Oiseaux,Ansériformes,Anatidés
ALOAEG,1700,459626,Alopochen aegyptiaca,Ouette d'Egypte,Egyptian Goose,espece,Oiseaux,Ansériformes,Anatidés
TADFER,1710,2770,Tadorna ferruginea,Tadorne casarca,Ruddy Shelduck,espece,Oiseaux,Ansériformes,Anatidés
TADTAD,1730,2767,Tadorna tadorna,Tadorne de Belon,Common Shelduck,espece,Oiseaux,Ansériformes,Anatidés
DENVID,,2399,Dendrocygna viduata,Dendrocygne veuf,White-faced Whistling-Duck,espece,Oiseaux,Anatidés,Anatidés
AIXSPO,1770,2775,Aix sponsa,Canard carolin,Wood Duck,espece,Oiseaux,Ansériformes,Anatidés
AIXGAL,1780,2776,Aix galericulata,Canard mandarin,Mandarin Duck,espece,Oiseaux,Ansériformes,Anatidés
ANAPEN,1790,1950,Anas penelope,Canard siffleur,Eurasian Wigeon,espece,Oiseaux,Ansériformes,Anatidés
ANAAME,1800,1953,Anas americana,Canard à front blanc,American Wigeon,espece,Oiseaux,Ansériformes,Anatidés
ANASTR,1820,1956,Anas strepera,Canard chipeau,Gadwall,espece,Oiseaux,Ansériformes,Anatidés
ANAFOR,1830,1964,Anas formosa,Sarcelle élégante,Baikal Teal,espece,Oiseaux,Ansériformes,Anatidés
ANACRE,1840,1958,Anas crecca,Sarcelle d'hiver,Green-winged Teal,espece,Oiseaux,Ansériformes,Anatidés
ANAPLA,1860,1966,Anas platyrhynchos,Canard colvert,Mallard,espece,Oiseaux,Ansériformes,Anatidés
ANARUB,1870,1968,Anas rubripes,Canard noir,American Black Duck,espece,Oiseaux,Ansériformes,Anatidés
ANAACU,1890,1973,Anas acuta,Canard pilet,Northern Pintail,espece,Oiseaux,Ansériformes,Anatidés
ANAQUE,1910,1975,Anas querquedula,Sarcelle d'été,Garganey,espece,Oiseaux,Ansériformes,Anatidés
ANADIS,1920,1962,Anas discors,Sarcelle à ailes bleues,Blue-winged Teal,espece,Oiseaux,Ansériformes,Anatidés
ANACLY,1940,1970,Anas clypeata,Canard souchet,Northern Shoveler,espece,Oiseaux,Ansériformes,Anatidés
MARANG,1950,1980,Marmaronetta angustirostris,Sarcelle marbrée,Marbled Teal,espece,Oiseaux,Ansériformes,Anatidés
NETRUF,1960,1984,Netta rufina,Nette rousse,Red-crested Pochard,espece,Oiseaux,Ansériformes,Anatidés
AYTFERNYR,,,Aythya ferina x nyroca,Fuligule hybride x milouin nyroca,,hybride,Oiseaux,Ansériformes,Anatidés
AYTFER,1980,1991,Aythya ferina,Fuligule milouin,Common Pochard,espece,Oiseaux,Ansériformes,Anatidés
AYTCOL,2000,1988,Aythya collaris,Fuligule à bec cerclé,Ring-necked Duck,espece,Oiseaux,Ansériformes,Anatidés
AYTNYR,2020,1995,Aythya nyroca,Fuligule nyroca,Ferruginous Duck,espece,Oiseaux,Ansériformes,Anatidés
AYTFUL,2030,1998,Aythya fuligula,Fuligule morillon,Tufted Duck,espece,Oiseaux,Ansériformes,Anatidés
AYTMAR,2040,2001,Aythya marila,Fuligule milouinan,Greater Scaup,espece,Oiseaux,Ansériformes,Anatidés
AYTAFF,2050,199305,Aythya affinis,Fuligule à tête noire,Lesser Scaup,espece,Oiseaux,Ansériformes,Anatidés
SOMMOL,2060,2005,Somateria mollissima,Eider à duvet,Common Eider,espece,Oiseaux,Ansériformes,Anatidés
POLSTE,2090,199307,Polysticta stelleri,Eider de Steller,Steller's Eider,espece,Oiseaux,Ansériformes,Anatidés
HISHIS,2110,2788,Histrionicus histrionicus,Arlequin plongeur,Harlequin Duck,espece,Oiseaux,Ansériformes,Anatidés
CLAHYE,2120,2790,Clangula hyemalis,Harelde boréale,Long-tailed Duck,espece,Oiseaux,Ansériformes,Anatidés
MELNIG,2130,2794,Melanitta nigra,Macreuse noire,Common Scoter,espece,Oiseaux,Ansériformes,Anatidés
MELPER,2140,2798,Melanitta perspicillata,Macreuse à front blanc,Surf Scoter,espece,Oiseaux,Ansériformes,Anatidés
MELFUS,2150,2801,Melanitta fusca,Macreuse brune,White-winged Scoter,espece,Oiseaux,Ansériformes,Anatidés
BUCISL,2170,2805,Bucephala islandica,Garrot d'Islande,Barrow's Goldeneye,espece,Oiseaux,Ansériformes,Anatidés
BUCCLA,2180,2808,Bucephala clangula,Garrot à oeil d'or,Common Goldeneye,espece,Oiseaux,Ansériformes,Anatidés
MERALB,2200,199312,Mergellus albellus,Harle piette,Smew,espece,Oiseaux,Ansériformes,Anatidés
MERSER,2210,2816,Mergus serrator,Harle huppé,Red-breasted Merganser,espece,Oiseaux,Ansériformes,Anatidés
MERMER,2230,2818,Mergus merganser,Harle bièvre,Common Merganser,espece,Oiseaux,Ansériformes,Anatidés
OXYJAM,2250,2823,Oxyura jamaicensis,Erismature rousse,Ruddy Duck,espece,Oiseaux,Ansériformes,Anatidés
OXYLEU,2260,2826,Oxyura leucocephala,Erismature à tête blanche,White-headed Duck,espece,Oiseaux,Ansériformes,Anatidés
RAPACE,,,,Rapace sp,,generique,Oiseaux,Accipitriformes,
PERAPI,2310,2832,Pernis apivorus,Bondrée apivore,European Honey-buzzard,espece,Oiseaux,Accipitriformes,Accipitridés
ELACAE,2350,2836,Elanus caeruleus,Elanion blanc,Black-shouldered Kite,espece,Oiseaux,Accipitriformes,Accipitridés
MILMIG,2380,2840,Milvus migrans,Milan noir,Black Kite,espece,Oiseaux,Accipitriformes,Accipitridés
MILMIL,2390,2844,Milvus milvus,Milan royal,Red Kite,espece,Oiseaux,Accipitriformes,Accipitridés
HALALB,2430,2848,Haliaeetus albicilla,Pygargue à queue blanche,White-tailed Eagle,espece,Oiseaux,Accipitriformes,Accipitridés
GYPBAR,2460,2852,Gypaetus barbatus,Gypaète barbu,Lammergeier,espece,Oiseaux,Accipitriformes,Accipitridés
NEOPER,2470,2856,Neophron percnopterus,Vautour percnoptère,Egyptian Vulture,espece,Oiseaux,Accipitriformes,Accipitridés
GYPFUL,2510,2860,Gyps fulvus,Vautour fauve,Eurasian Griffon,espece,Oiseaux,Accipitriformes,Accipitridés
TORTRA,2540,2864,Torgos tracheliotus,Vautour oricou,Lappet-faced Vulture,espece,Oiseaux,Accipitriformes,Accipitridés
AEGMON,2550,2869,Aegypius monachus,Vautour moine,Cinereous Vulture,espece,Oiseaux,Accipitriformes,Accipitridés
CIRGAL,2560,2873,Circaetus gallicus,Circaète Jean-le-blanc,Short-toed Snake-Eagle,espece,Oiseaux,Accipitriformes,Accipitridés
CIRAER,2600,2878,Circus aeruginosus,Busard des roseaux,Eurasian Marsh-Harrier,espece,Oiseaux,Accipitriformes,Accipitridés
CIRCYA,2610,2881,Circus cyaneus,Busard Saint-Martin,Northern Harrier,espece,Oiseaux,Accipitriformes,Accipitridés
CIRMAC,2620,2884,Circus macrourus,Busard pâle,Pallid Harrier,espece,Oiseaux,Accipitriformes,Accipitridés
CIRPYG,2630,2887,Circus pygargus,Busard cendré,Montagu's Harrier,espece,Oiseaux,Accipitriformes,Accipitridés
ACCGEN,2670,2891,Accipiter gentilis,Autour des palombes,Northern Goshawk,espece,Oiseaux,Accipitriformes,Accipitridés
ACCNIS,2690,2895,Accipiter nisus,Epervier d'Europe,Eurasian Sparrowhawk,espece,Oiseaux,Accipitriformes,Accipitridés
BUTBUT,2870,2623,Buteo buteo,Buse variable,Common Buzzard,espece,Oiseaux,Accipitriformes,Accipitridés
BUTBUTVUL,2872,779863,Buteo buteo vulpinus,Buse de Russie,Western Steppe Common Buzzard,sous-espece,Oiseaux,Accipitriformes,Accipitridés
BUTRUF,2880,2627,Buteo rufinus,Buse féroce,Long-legged Buzzard,espece,Oiseaux,Accipitriformes,Accipitridés
BUTLAG,2900,2630,Buteo lagopus,Buse pattue,Rough-legged Hawk,espece,Oiseaux,Accipitriformes,Accipitridés
AQUPOM,2920,836345,Clanga pomarina,Aigle pomarin,Lesser Spotted Eagle,espece,Oiseaux,Accipitriformes,Accipitridés
AQUCLA,2930,836346,Clanga clanga,Aigle criard,Greater Spotted Eagle,espece,Oiseaux,Accipitriformes,Accipitridés
AQUHEL,2950,2643,Aquila heliaca,Aigle impérial,Imperial Eagle,espece,Oiseaux,Accipitriformes,Accipitridés
AQUADA,2952,2634,Aquila adalberti,Aigle ibérique,Spanish Eagle,espece,Oiseaux,Accipitriformes,Accipitridés
AQUCHR,2960,2645,Aquila chrysaetos,Aigle royal,Golden Eagle,espece,Oiseaux,Accipitriformes,Accipitridés
HIEPEN,2980,2651,Hieraaetus pennatus,Aigle botté,Booted Eagle,espece,Oiseaux,Accipitriformes,Accipitridés
HIEFAS,2990,2657,Aquila fasciata,Aigle de Bonelli,Bonelli's Eagle,espece,Oiseaux,Accipitriformes,Accipitridés
PANHAL,3010,2660,Pandion haliaetus,Balbuzard pêcheur,Osprey,espece,Oiseaux,Accipitriformes,Pandionidés
FALNAU,3030,2666,Falco naumanni,Faucon crécerellette,Lesser Kestrel,espece,Oiseaux,Falconiformes,Falconidés
FALTIN,3040,2669,Falco tinnunculus,Faucon crécerelle,Eurasian Kestrel,espece,Oiseaux,Falconiformes,Falconidés
FALVES,3070,2674,Falco vespertinus,Faucon kobez,Red-footed Falcon,espece,Oiseaux,Falconiformes,Falconidés
FALCOL,3090,2676,Falco columbarius,Faucon émerillon,Merlin,espece,Oiseaux,Falconiformes,Falconidés
FALSUB,3100,2679,Falco subbuteo,Faucon hobereau,Eurasian Hobby,espece,Oiseaux,Falconiformes,Falconidés
FALELE,3110,2681,Falco eleonorae,Faucon d'Eléonore,Eleonora's Falcon,espece,Oiseaux,Falconiformes,Falconidés
FALBIA,3140,2683,Falco biarmicus,Faucon lanier,Lanner Falcon,espece,Oiseaux,Falconiformes,Falconidés
FALCHE,3160,2672,Falco cherrug,Faucon sacre,Saker Falcon,espece,Oiseaux,Falconiformes,Falconidés
FALRUS,3180,2931,Falco rusticolus,Faucon gerfaut,Gyrfalcon,espece,Oiseaux,Falconiformes,Falconidés
FALPER,3200,2938,Falco peregrinus,Faucon pèlerin,Peregrine Falcon,espece,Oiseaux,Falconiformes,Falconidés
BONBON,3260,199294,Bonasa bonasia,Gélinotte des bois,Hazel Grouse,espece,Oiseaux,Galliformes,Tétraonidés
LAGLAG,3290,2948,Lagopus lagopus,Lagopède des saules,Willow Ptarmigan,espece,Oiseaux,Galliformes,Tétraonidés
LAGLAGSCO,3292,,Lagopus lagopus scotica,Lagopède d'Ecosse,Red Grouse,sous-espece,Oiseaux,Galliformes,Tétraonidés
